Corresponding Authors,Pubs Num
"Nguyen, Henry T",55
"Mittler, Ron",43
"Meyers, Blake C",33
"Stacey, Gary",33
"Birchler, James A",25
"Krishnan, Hari B",21
"Yang, Bing",19
"Braun, David M",17
"Fritschi, Felix B",15
"Lall, Namrita",13
"Zhang, Shuqun",13
"Bradley, Kevin W",12
"Bilyeu, Kristin D",11
"Oliver, Melvin J",11
"Slotkin, R Keith",10
"Thelen, Jay J",10
"Angelovici, Ruthie",9
"Ferrieri, Richard A",9
"Gassmann, Walter",9
"Mitchum, Melissa Goellner",9
"Shelby, Kent S",9
"Koo, Abraham J",8
"Walker, John C",8
"Guo, Ya",7
"MendozaCozatl, David G",7
"Washburn, Jacob D",7
"Zhang, Zhanyuan J",7
"Zhou, Jianfeng",7
"FlintGarcia, Sherry A",6
"Heese, Antje",6
"Islam, Md Sariful",6
"McSteen, Paula",6
"Patharkar, Osric Rahul",6
"Pires, J Chris",6
"Scaboo, Andrew M",6
"Best, Norman B",5
"Gillman, Jason D",5
"Hibbard, Bruce E",5
"Schenck, Craig A",5
"Chen, Pengyin",4
"Joshi, Trupti",4
"Matthes, Michaela S",4
"McClure, Bruce",4
"Pereira, Adriano E",4
"Stacey, Minviluz G",4
"Sumner, Lloyd W",4
"Xu, Dong",4
"Appel, Heidi M",3
"Beissinger, Timothy M",3
"Bish, Mandy D",3
"Das, Debatosh",3
"Emerich, David W",3
"Fritsche, Kevin L",3
"Huynh, Man P",3
"Mabry, Makenzie E",3
"Park, SoYon",3
"Peck, Scott C",3
"Schoelz, James E",3
"Su, Jianbin",3
"Thomas, Shawn K",3
"Vuong, Tri D",3
"Whalen, Derek M",3
"Zandalinas, Sara I",3
"Amezquita, Erik J",2
"Barros, Jaime",2
"Beamer, Lesa J",2
"Boyer, John S",2
"Chen, Mingjie",2
"Chen, Wei",2
"Cho, SungHwan",2
"Cocroft, Reginald B",2
"Dowd, Tyler G",2
"Hong, Jong Chan",2
"Kazic, Toni",2
"Kremer, Robert J",2
"Lei, Zhentian",2
"Libault, Marc",2
"Lin, Feng",2
"Liscum, Emmanuel",2
"Motavalli, Peter P",2
"Revord, Ronald S",2
"Shannon, J Grover",2
"Sharp, Robert E",2
"Shergill, Lovreet S",2
"Swain, Durga Madhab",2
"Voothuluru, Priyamvada",2
"Ye, Heng",2
"Adhab, Mustafa A",1
"Ahsan, Nagib",1
"AliAkbarpour, Hadi",1
"Arias, Tatiana",1
"Bird, Kevin A",1
"Boateng, Isaac Duah",1
"Brake, Derek W",1
"Bucking, Heike",1
"Chhapekar, Sushil Satish",1
"Cuvaca, Ivan",1
"Datta, Abhinandya",1
"Dee, Justin R",1
"Deshmukh, Rupesh K",1
"Dintelmann, Brian R",1
"Ekanayake, Gayani",1
"Elliott, Grant P",1
"Elsik, Christine G",1
"Fang, Yujiang",1
"Fichman, Yosef",1
"Finke, Deborah L",1
"Folk, William R",1
"Greenlief, C Michael",1
"Guilfoyle, Tom J",1
"Hamilton, Corri D",1
"Hanberry, Brice B",1
"He, Hongshi",1
"Hertweck, Kate L",1
"Holding, David R",1
"Holdo, Ricardo M",1
"Jiao, Yongqing",1
"Kadam, Suhas",1
"Kalaitzandonakes, Nicholas",1
"Kandlikar, Gaurav S",1
"Kang, Jian",1
"Kataya, Amr R A",1
"Khan, Aamir W",1
"Kim, KiSeung",1
"Knapp, Benjamin O",1
"Koester, Robert P",1
"Kwasniewski, Misha T",1
"LaMontagne, Erica D",1
"Le Thi, Ho",1
"Lever, Susan Z",1
"Long, Elizabeth Y",1
"Lubahn, Dennis B",1
"Lynn, Austin",1
"Mahmoud, M A B",1
"Mertz, Rachel A",1
"Mookkan, Muruganantham",1
"Mooney, Brian P",1
"MunozSanz, Juan Vicente",1
"Mutava, Raymond N",1
"Naumann, HD",1
"Nelson, Sven K",1
"Nguyen, Nga T",1
"Ning, Peng",1
"Owen, Rachel K",1
"Paddock, Kyle J",1
"Patil, Gunvant",1
"Pisias, Michael T",1
"Polacco, Joe Carmine",1
"Prince, Silvas J",1
"Qin, Hua",1
"Raju, Dhandapani",1
"Reed, Sharon E",1
"Robil, Janlo M",1
"Schultz, Jack C",1
"Shibu, Jose",1
"Silva, Anderson Tadeu",1
"Smith, John M",1
"Sommer, Stephan",1
"Song, Li",1
"Sparks, Erin E",1
"Spears, Benjamin J",1
"Stambaugh, Michael C",1
"Sutton, Etienne",1
"Svedin, Jeffrey D",1
"Tan, Jinglu",1
"Tanaka, Kiwamu",1
"Thomas, Andrew L",1
"Tipton, Alice G",1
"Unruh, Sarah A",1
"Valliyodan, Babu",1
"Van Doren, Steven R",1
"VieiraPotter, Victoria J",1
"Vinhal, Ryan A",1
"Wan, Caixia",1
"Wang, Chunyu",1
"Wood, Jeffrey D",1
"Xi, Xiong",1
"Xiao, Lihong",1
"Xiong, Zhiyong",1
"Zhang, Hao",1
"atalya, K Kutsokon",1
